LineId,Language,Repo,BuildId,Log,Category,Keywords,Content
1,CSS,google@material-design-icons,92806560,CSS/google@material-design-icons/failed/92806560.log,0,"rake aborted, No Rakefile found,","No Rakefile found (looking for: rakefile, Rakefile, rakefile.rb, Rakefile.rb)
/home/travis/.rvm/gems/ruby-1.9.3-p551/bin/ruby_executable_hooks:15:in `eval'
/home/travis/.rvm/gems/ruby-1.9.3-p551/bin/ruby_executable_hooks:15:in `<main>'"
2,Clojure,technomancy@leiningen,239432824,Clojure/technomancy@leiningen/failed/239432824.log,1,"rake aborted, No Rakefile found,","No Rakefile found (looking for: rakefile, Rakefile, rakefile.rb, Rakefile.rb)
/home/travis/.rvm/gems/ruby-2.2.6/bin/ruby_executable_hooks:15:in `eval'
/home/travis/.rvm/gems/ruby-2.2.6/bin/ruby_executable_hooks:15:in `<main>'"
3,Lua,cmusatyalab@openface,199282796,Lua/cmusatyalab@openface/failed/199282796.log,2,"ERROR, ,","+ ERROR! openface/celeb-classifier.nn4.small2.v1.pkl md5sum did not match.
  + Expected: 199a2c0d32fd0f22f14ad2d248280475
  + Actual: 390264772e075a0aa5c907e4ed0c2561
  + Please manually delete this file and try re-running this script."
4,R,twitter@AnomalyDetection,48330777,R/twitter@AnomalyDetection/failed/48330777.log,3,"ERROR, failed,","Installation failed.
See ‘/home/travis/build/twitter/AnomalyDetection/AnomalyDetection.Rcheck/00install.out’ for details."
5,Haskell,koalaman@shellcheck,553130518,Haskell/koalaman@shellcheck/failed/553130518.log,4,"server is down ,","cabal.exe: Couldn't establish HTTP connection. Possible cause: HTTP proxy

server is down."
6,Haskell,koalaman@shellcheck,563353767,Haskell/koalaman@shellcheck/failed/563353767.log,5,"Error, error,","container_linux.go:265: starting container process caused ""exec: \""-c\"": executable file not found in $PATH""
docker: Error response from daemon: oci runtime error: container_linux.go:265: starting container process caused ""exec: \""-c\"": executable file not found in $PATH""."
7,Haskell,koalaman@shellcheck,563381753,Haskell/koalaman@shellcheck/failed/563381753.log,6,"invalid, ,","+docker build -t :current .
invalid argument "":current"" for t: invalid reference format"
8,Ruby,discourse@discourse,566815121,Ruby/discourse@discourse/failed/566815121.log,7,"Failed, ,","Module Failed: date-time-input-range
Test Failed: prevents toDate to be before fromDate
  Assertion Failed: failed, expected argument to be falsy, was: true    
  Assertion Failed: failed, expected argument to be truthy, was: false
    Expected: true, Actual: false"
9,C,php@php-src,529279089,C/php@php-src/failed/529279089.log,0,"ERROR, FAIL, DIFF","001+ ** ERROR: process timed out **

001- OK.
========DONE========
FAIL Bug #60120 (proc_open hangs when data in stdin/out/err is getting larger or equal to 2048) [ext/standard/tests/file/bug60120.phpt]"
10,C#,NancyFx@Nancy,461393228,C#/NancyFx@Nancy/failed/461393228.log,3,"FAILED, error, Error","Extensions/CollectionExtensions.cs(20,40): error CS0103: The name 'key' does not exist in the current context [/home/travis/build/NancyFx/Nancy/src/Nancy/Nancy.csproj]
Extensions/CollectionExtensions.cs(21,17): error CS0103: The name 'key' does not exist in the current context [/home/travis/build/NancyFx/Nancy/src/Nancy/Nancy.csproj]
Extensions/CollectionExtensions.cs(23,24): error CS0029: Cannot implicitly convert type 'string[]' to 'System.Collections.Generic.IDictionarystring, System.Collections.Generic.IEnumerablestring>>' [/home/travis/build/NancyFx/Nancy/src/Nancy/Nancy.csproj]
Extensions/CollectionExtensions.cs(25,20): error CS0029: Cannot implicitly convert type 'string[]' to 'System.Collections.Generic.IDictionarystring, System.Collections.Generic.IEnumerablestring>>' [/home/travis/build/NancyFx/Nancy/src/Nancy/Nancy.csproj]"
11,C++,bitcoin@bitcoin,567143552,C++/bitcoin@bitcoin/failed/567143552.log,1,"failure, ,","diff --git a/src/wallet/rpcwallet.cpp b/src/wallet/rpcwallet.cpp
@@ -3338,4 +3342,5 @@ static UniValue bumpfee(const JSONRPCRequest& request)
+            true, true);
^---- failure generated from test/lint/lint-whitespace.sh"
