LineId,SourceLine,Level,MessageLengthBucket,MessageConstructionStyle,VariableCountBucket,LogStatement,Message,VarList
1,2,info,q3,placeholder,2,"LOG.info(""Begin to preCheck preSqls:[{}]."", String.join("";"", renderedPreSqls));","""Begin to preCheck preSqls:[{}]."" , String . join ( "";"" , renderedPreSqls )","String.join("";"", renderedPreSqls)"
2,6,debug,q2,placeholder,1,"LOG.debug(""StreamLoad response:{}"", JSON.toJSONString(loadResult));","""StreamLoad response:{}"" , JSON . toJSONString ( loadResult )",JSON.toJSONString(loadResult)
3,9,warn,q1,placeholder,1,"LOG.warn(""Request failed with code:{}"", code);","""Request failed with code:{}"" , code",code
4,15,warn,q3,placeholder,2,"LOG.warn(""Failed to flush batch data to Doris, retry times = {}"", i, e);","""Failed to flush batch data to Doris, retry times = {}"" , i , e","i,e"
5,20,warn,q1,placeholder,1,"LOG.warn(""type={}"", type);","""type={}"" , type",type
6,22,info,q1,placeholder,2,"LOG.info(""set config {} to {}"", key, value);","""set config {} to {}"" , key , value","value,key"
7,24,debug,q1,placeholder,2,"log.debug(""Exception in closing {} {}"", c, e);","""Exception in closing {} {}"" , c , e","c,e"
8,35,info,q4,concat,4+,"LOG.info(""global dict builder args, dictColumnMap: "" + dictColumnMap + "", dorisOlapTableColumnList: "" + dorisOlapTableColumnList + "", sourceHiveDBTableName: "" + sourceHiveDBTableName + "", sourceHiveFilter: "" + sourceHiveFilter + "", distinctKeyTableName: "" + distinctKeyTableName + "", globalDictTableName: "" + globalDictTableName + "", dorisIntermediateHiveTable: "" + dorisIntermediateHiveTable);","""global dict builder args, dictColumnMap: "" + dictColumnMap + "", dorisOlapTableColumnList: "" + dorisOlapTableColumnList + "", sourceHiveDBTableName: "" + sourceHiveDBTableName + "", sourceHiveFilter: "" + sourceHiveFilter + "", distinctKeyTableName: "" + distinctKeyTableName + "", globalDictTableName: "" + globalDictTableName + "", dorisIntermediateHiveTable: "" + dorisIntermediateHiveTable","dorisIntermediateHiveTable,dorisOlapTableColumnList,sourceHiveDBTableName,distinctKeyTableName,globalDictTableName,sourceHiveFilter,dictColumnMap"
9,36,info,q4,concat,3,"LOG.info("" column "" + distinctColumnNameTmp + "" 's max value in dict is "" + maxDictValue + "", min value is "" + minDictValue);",""" column "" + distinctColumnNameTmp + "" 's max value in dict is "" + maxDictValue + "", min value is "" + minDictValue","distinctColumnNameTmp,maxDictValue,minDictValue"
10,47,warn,q4,string_format,4+,"LOG.warn(String.format(""decimal value is not valid for defination, column=%s, "" + "" value=%s, precision=%s, scale=%s"", etlColumn.columnName, srcValue, srcBigDecimal.precision(), srcBigDecimal.scale()));","String . format ( ""decimal value is not valid for defination, column=%s,"" + "" value=%s,precision=%s,scale=%s"" , etlColumn . columnName , srcValue , srcBigDecimal . precision ( ) , srcBigDecimal . scale ( ) )","srcBigDecimal.precision(),srcBigDecimal.scale(),etlColumn.columnName,srcValue"
11,87,debug,q4,concat,3,"LOG.debug(""add function parameterTypes length not equal "" + argClass.length + "" "" + parameterTypes.length + "" "" + methods[idx].getName());","""add function parameterTypes length not equal "" + argClass . length + "" "" + parameterTypes . length + "" "" + methods [ idx ] . getName ( )","methods[idx].getName(),parameterTypes.length,argClass.length"
12,94,info,q2,placeholder,1,"LOG.info(""paimonAllFieldNames:{}"", paimonAllFieldNames);","""paimonAllFieldNames:{}"" , paimonAllFieldNames",paimonAllFieldNames
13,122,debug,q3,placeholder,2,"LOG.debug(""selfNodeName:{}, selfNodeHostPort:{}"", selfNodeName, selfNodeHostPort);","""selfNodeName:{}, selfNodeHostPort:{}"" , selfNodeName , selfNodeHostPort","selfNodeHostPort,selfNodeName"
14,139,info,q1,placeholder,1,"LOG.info(""sink is {}"", sink.toThrift());","""sink is {}"" , sink . toThrift ( )",sink.toThrift()
15,199,warn,q2,placeholder,1,"LOG.warn(""Sub nokey={}"", cache.getNokeyStmt().toSql());","""Sub nokey={}"" , cache . getNokeyStmt ( ) . toSql ( )",cache.getNokeyStmt().toSql()
16,208,error,q3,placeholder,2,"LOG.error(""fail to get journal {}, status: {}, will exit"", currentKey, operationStatus);","""fail to get journal {}, status: {}, will exit"" , currentKey , operationStatus","operationStatus,currentKey"
17,245,debug,q1,placeholder,1,"LOG.debug(""get opcode: {}"", opCode);","""get opcode: {}"" , opCode",opCode
18,250,warn,q3,placeholder,3,"LOG.warn(""Failed to deserialize column {} min value {}."", col, min, e);","""Failed to deserialize column {} min value {}."" , col , min , e","col,min,e"
19,256,debug,q3,placeholder,3,"LOG.debug(""Template:{}, params: {}, SQL: {}"", template, params, sb.toString());","""Template:{}, params: {}, SQL: {}"" , template , params , sb . toString ( )","sb.toString(),template,params"
20,285,debug,q4,string_format,4+,"LOG.debug(String.format(""Exception to get column statistics by metadata.[Catalog:%d, DB:%d, Table:%d]"", key.catalogId, key.dbId, key.tableId), e);","String . format ( ""Exception to get column statistics by metadata. [Catalog:%d, DB:%d, Table:%d]"" , key . catalogId , key . dbId , key . tableId ) , e","key.catalogId,key.tableId,key.dbId,e"
21,290,warn,q1,placeholder,2,"LOG.warn(""Failed to analyze, info: {}"", task, t);","""Failed to analyze, info: {}"" , task , t","task,t"
22,298,info,q3,other,0,"LOG.info(""Analyze tasks those submitted in last time is not finished, skip"");","""Analyze tasks those submitted in last time is not finished, skip""",
23,311,info,q2,placeholder,2,"LOG.info(""get stats failed. catalog: {}"", catalog, e);","""get stats failed. catalog: {}"" , catalog , e","catalog,e"
24,329,warn,q4,concat,0,"LOG.warn(""Notification events are missing, maybe an event can not be handled "" + ""or processing rate is too low, fallback to refresh the catalog"");","""Notification events are missing, maybe an event can not be handled "" + ""or processing rate is too low, fallback to refresh the catalog""",
25,663,error,q2,placeholder,1,"LOG.error(""failed to init statefulSetName: {}"", statefulSetEnvName);","""failed to init statefulSetName: {}"" , statefulSetEnvName",statefulSetEnvName
26,684,error,q2,placeholder,1,"LOG.error(""invalid ambari port format: {}"", ambariPort);","""invalid ambari port format: {}"" , ambariPort",ambariPort
