batch_index,line_id,event_id,event_template,query_text,normalized_results_file,requested_at_utc,num_results,status,error_message
1,1,,,"No Rakefile found (looking for: rakefile, Rakefile, rakefile.rb, Rakefile.rb)
/home/travis/.rvm/gems/ruby-1.9.3-p551/bin/ruby_executable_hooks:15:in `eval'
/home/travis/.rvm/gems/ruby-1.9.3-p551/bin/ruby_executable_hooks:15:in `<main>'",normalized_results/1.json,2026-04-10T21:38:32.534841+00:00,6,success,
2,2,,,"No Rakefile found (looking for: rakefile, Rakefile, rakefile.rb, Rakefile.rb)
/home/travis/.rvm/gems/ruby-2.2.6/bin/ruby_executable_hooks:15:in `eval'
/home/travis/.rvm/gems/ruby-2.2.6/bin/ruby_executable_hooks:15:in `<main>'",,2026-04-10T21:38:39.068140+00:00,,error,SerpAPI request failed: Google hasn't returned any results for this query.
3,3,,,"+ ERROR! openface/celeb-classifier.nn4.small2.v1.pkl md5sum did not match.
  + Expected: 199a2c0d32fd0f22f14ad2d248280475
  + Actual: 390264772e075a0aa5c907e4ed0c2561
  + Please manually delete this file and try re-running this script.",normalized_results/3.json,2026-04-10T21:38:45.325354+00:00,4,success,
4,4,,,"Installation failed.
See ‘/home/travis/build/twitter/AnomalyDetection/AnomalyDetection.Rcheck/00install.out’ for details.",normalized_results/4.json,2026-04-10T21:38:51.851342+00:00,6,success,
5,5,,,"cabal.exe: Couldn't establish HTTP connection. Possible cause: HTTP proxy

server is down.",normalized_results/5.json,2026-04-10T21:38:59.957778+00:00,10,success,
6,6,,,"container_linux.go:265: starting container process caused ""exec: \""-c\"": executable file not found in $PATH""
docker: Error response from daemon: oci runtime error: container_linux.go:265: starting container process caused ""exec: \""-c\"": executable file not found in $PATH"".",normalized_results/6.json,2026-04-10T21:39:06.332109+00:00,10,success,
7,7,,,"+docker build -t :current .
invalid argument "":current"" for t: invalid reference format",,2026-04-10T21:39:12.620010+00:00,,error,SerpAPI request failed: Google hasn't returned any results for this query.
8,8,,,"Module Failed: date-time-input-range
Test Failed: prevents toDate to be before fromDate
  Assertion Failed: failed, expected argument to be falsy, was: true    
  Assertion Failed: failed, expected argument to be truthy, was: false
    Expected: true, Actual: false",normalized_results/8.json,2026-04-10T21:39:18.373765+00:00,10,success,
9,9,,,"001+ ** ERROR: process timed out **

001- OK.
========DONE========
FAIL Bug #60120 (proc_open hangs when data in stdin/out/err is getting larger or equal to 2048) [ext/standard/tests/file/bug60120.phpt]",normalized_results/9.json,2026-04-10T21:39:27.136725+00:00,6,success,
10,10,,,"Extensions/CollectionExtensions.cs(20,40): error CS0103: The name 'key' does not exist in the current context [/home/travis/build/NancyFx/Nancy/src/Nancy/Nancy.csproj]
Extensions/CollectionExtensions.cs(21,17): error CS0103: The name 'key' does not exist in the current context [/home/travis/build/NancyFx/Nancy/src/Nancy/Nancy.csproj]
Extensions/CollectionExtensions.cs(23,24): error CS0029: Cannot implicitly convert type 'string[]' to 'System.Collections.Generic.IDictionarystring, System.Collections.Generic.IEnumerablestring>>' [/home/travis/build/NancyFx/Nancy/src/Nancy/Nancy.csproj]
Extensions/CollectionExtensions.cs(25,20): error CS0029: Cannot implicitly convert type 'string[]' to 'System.Collections.Generic.IDictionarystring, System.Collections.Generic.IEnumerablestring>>' [/home/travis/build/NancyFx/Nancy/src/Nancy/Nancy.csproj]",normalized_results/10.json,2026-04-10T21:39:35.062929+00:00,10,success,
