batch_index,line_id,event_id,event_template,query_text,normalized_results_file,requested_at_utc,num_results,status,error_message
1,1,E29,Created MRAppMaster for application <*>,Created MRAppMaster for application appattempt_1445144423722_0020_000001,normalized_results/1.json,2026-04-09T20:22:49.901888+00:00,10,success,
2,2,E42,Executing with tokens:,Executing with tokens:,normalized_results/2.json,2026-04-09T20:22:54.947849+00:00,10,success,
3,3,E61,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",normalized_results/3.json,2026-04-09T20:22:59.968565+00:00,10,success,
4,4,E111,Using mapred newApiCommitter.,Using mapred newApiCommitter.,normalized_results/4.json,2026-04-09T20:23:05.001791+00:00,10,success,
5,5,E76,OutputCommitter set in config <*>,OutputCommitter set in config null,normalized_results/5.json,2026-04-09T20:23:10.096571+00:00,10,success,
6,6,E75,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,normalized_results/6.json,2026-04-09T20:23:15.139627+00:00,10,success,
7,7,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,normalized_results/7.json,2026-04-09T20:23:20.163440+00:00,10,success,
8,15,E31,Default file system [hdfs://<*>:<*>],Default file system [hdfs://msra-sa-41:9000],normalized_results/15.json,2026-04-09T20:23:25.189853+00:00,10,success,
9,18,E37,Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled,normalized_results/18.json,2026-04-09T20:23:30.222000+00:00,10,success,
10,20,E63,loaded properties from hadoop-metrics2.properties,loaded properties from hadoop-metrics2.properties,normalized_results/20.json,2026-04-09T20:23:35.279692+00:00,10,success,
11,21,E92,Scheduled snapshot period at <*> second(s).,Scheduled snapshot period at 10 second(s).,normalized_results/21.json,2026-04-09T20:23:40.329081+00:00,10,success,
12,22,E69,MRAppMaster metrics system started,MRAppMaster metrics system started,normalized_results/22.json,2026-04-09T20:23:45.364790+00:00,10,success,
13,23,E7,Adding job token for <*> to jobTokenSecretManager,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,normalized_results/23.json,2026-04-09T20:23:50.396719+00:00,10,success,
14,24,E71,Not uberizing <*> because: not enabled; too many maps; too much input;,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,normalized_results/24.json,2026-04-09T20:23:55.428958+00:00,10,success,
15,25,E48,Input size for job <*> = <*>. Number of splits = <*>,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,normalized_results/25.json,2026-04-09T20:24:00.467204+00:00,10,success,
16,26,E73,Number of reduces for job <*> = <*>,Number of reduces for job job_1445144423722_0020 = 1,normalized_results/26.json,2026-04-09T20:24:05.514387+00:00,10,success,
17,27,E55,<*> Transitioned from NEW to INITED,job_1445144423722_0020Job Transitioned from NEW to INITED,normalized_results/27.json,2026-04-09T20:24:10.541308+00:00,10,success,
18,28,E68,"MRAppMaster launching normal, non-uberized, multi-container job <*>.","MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",normalized_results/28.json,2026-04-09T20:24:15.568811+00:00,10,success,
19,29,E110,Using callQueue class java.util.concurrent.LinkedBlockingQueue,Using callQueue class java.util.concurrent.LinkedBlockingQueue,normalized_results/29.json,2026-04-09T20:24:20.606125+00:00,10,success,
20,30,E98,Starting Socket Reader #<*> for port <*>,Starting Socket Reader #1 for port 62260,normalized_results/30.json,2026-04-09T20:24:25.628571+00:00,10,success,
21,31,E9,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,normalized_results/31.json,2026-04-09T20:24:30.659757+00:00,10,success,
22,32,E49,Instantiated MRClientService at MININT-<*>/<*>:<*>,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260,normalized_results/32.json,2026-04-09T20:24:35.686952+00:00,10,success,
23,33,E51,IPC Server Responder: starting,IPC Server Responder: starting,normalized_results/33.json,2026-04-09T20:24:40.712612+00:00,10,success,
24,34,E50,IPC Server listener on <*>: starting,IPC Server listener on 62260: starting,normalized_results/34.json,2026-04-09T20:24:45.744595+00:00,10,success,
25,35,E64,Logging to <*>(org.mortbay.log) via <*>,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,normalized_results/35.json,2026-04-09T20:24:50.769458+00:00,10,success,
26,36,E47,Http request log for http.requests.mapreduce is not defined,Http request log for http.requests.mapreduce is not defined,normalized_results/36.json,2026-04-09T20:24:55.792333+00:00,10,success,
27,37,E5,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),normalized_results/37.json,2026-04-09T20:25:00.845432+00:00,10,success,
28,38,E3,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,normalized_results/38.json,2026-04-09T20:25:05.877993+00:00,10,success,
29,39,E4,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,normalized_results/39.json,2026-04-09T20:25:10.944551+00:00,10,success,
30,40,E8,adding path spec: <*>,adding path spec: /mapreduce/*,normalized_results/40.json,2026-04-09T20:25:15.988003+00:00,10,success,
