batch_index,line_id,event_id,event_template,query_text,normalized_results_file,requested_at_utc,num_results,status,error_message
1,1,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,normalized_results/1.json,2026-04-09T20:25:16.104838+00:00,10,success,
2,2,E27,check pass; user unknown,check pass; user unknown,normalized_results/2.json,2026-04-09T20:25:21.298515+00:00,10,success,
3,4,E18,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,normalized_results/4.json,2026-04-09T20:25:26.444676+00:00,10,success,
4,14,E102,session opened for user <*> by (uid=<*>),session opened for user cyrus by (uid=0),normalized_results/14.json,2026-04-09T20:25:31.748898+00:00,10,success,
5,15,E101,session closed for user <*>,session closed for user cyrus,normalized_results/15.json,2026-04-09T20:25:37.154384+00:00,10,success,
6,16,E8,ALERT exited abnormally with [<*>],ALERT exited abnormally with [1],normalized_results/16.json,2026-04-09T20:25:42.263705+00:00,10,success,
7,83,E29,connection from <*> (<*>) at <*>:<*>:<*>,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,normalized_results/83.json,2026-04-09T20:25:47.534021+00:00,10,success,
8,91,E17,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=guest,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.224.253  user=guest,normalized_results/91.json,2026-04-09T20:25:52.977702+00:00,10,success,
9,136,E112,User unknown timed out after <*> seconds at <*>:<*>:<*> <*>,User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005,normalized_results/136.json,2026-04-09T20:25:58.409910+00:00,10,success,
10,144,E37,cupsd shutdown succeeded,cupsd shutdown succeeded,normalized_results/144.json,2026-04-09T20:26:03.703608+00:00,10,success,
11,145,E38,cupsd startup succeeded,cupsd startup succeeded,normalized_results/145.json,2026-04-09T20:26:09.267534+00:00,10,success,
12,146,E90,restart.,restart.,normalized_results/146.json,2026-04-09T20:26:14.460777+00:00,10,success,
13,167,E88,Received SNMP packet(s) from <*>,Received SNMP packet(s) from 67.170.148.126,normalized_results/167.json,2026-04-09T20:26:19.680597+00:00,10,success,
14,539,E13,Authentication failed from <*> (<*>): Permission denied in replay cache code,Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code,normalized_results/539.json,2026-04-09T20:26:24.827308+00:00,10,success,
15,540,E61,Kerberos authentication failed,Kerberos authentication failed,normalized_results/540.json,2026-04-09T20:26:30.340953+00:00,10,success,
16,553,E14,Authentication failed from <*> (<*>): Software caused connection abort,Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort,normalized_results/553.json,2026-04-09T20:26:35.730768+00:00,10,success,
17,896,E1,*** info [mice.c(<*>)]:,*** info [mice.c(1766)]:,normalized_results/896.json,2026-04-09T20:26:40.986193+00:00,10,success,
18,897,E51,imps2: Auto-detected intellimouse PS/<*>,imps2: Auto-detected intellimouse PS/2,normalized_results/897.json,2026-04-09T20:26:46.410101+00:00,10,success,
19,898,E103,session opened for user <*> by LOGIN(uid=<*>),session opened for user root by LOGIN(uid=0),normalized_results/898.json,2026-04-09T20:26:51.709358+00:00,10,success,
20,899,E91,<*> LOGIN ON tty2,ROOT LOGIN ON tty2,normalized_results/899.json,2026-04-09T20:26:56.810281+00:00,10,success,
21,901,E89,removing device node '<*>',removing device node '/udev/vcsa2',normalized_results/901.json,2026-04-09T20:27:02.464719+00:00,10,success,
22,903,E36,creating device node '<*>',creating device node '/udev/vcs2',normalized_results/903.json,2026-04-09T20:27:07.783372+00:00,10,success,
23,953,E19,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=test,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=212.0.132.20  user=test,normalized_results/953.json,2026-04-09T20:27:13.138966+00:00,10,success,
24,1242,E15,authentication failure; logname= uid=<*> euid=<*> tty=:<*> ruser= rhost=,authentication failure; logname= uid=0 euid=0 tty=:0 ruser= rhost=,normalized_results/1242.json,2026-04-09T20:27:18.163472+00:00,10,success,
25,1243,E31,Couldn't authenticate user,Couldn't authenticate user,normalized_results/1243.json,2026-04-09T20:27:23.192701+00:00,10,success,
26,1748,E9,"ANONYMOUS FTP LOGIN FROM <*>, (anonymous)","ANONYMOUS FTP LOGIN FROM 84.102.20.2,  (anonymous)",normalized_results/1748.json,2026-04-09T20:27:28.710074+00:00,10,success,
27,1810,E75,notify question section contains no SOA,notify question section contains no SOA,normalized_results/1810.json,2026-04-09T20:27:35.003894+00:00,10,success,
28,1826,E47,getpeername (ftpd): Transport endpoint is not connected,getpeername (ftpd): Transport endpoint is not connected,normalized_results/1826.json,2026-04-09T20:27:40.784593+00:00,10,success,
29,1828,E116,warning: can't get client address: Connection reset by peer,warning: can't get client address: Connection reset by peer,normalized_results/1828.json,2026-04-09T20:27:46.135919+00:00,10,success,
30,1909,E106,syslogd startup succeeded,syslogd startup succeeded,normalized_results/1909.json,2026-04-09T20:27:51.308590+00:00,10,success,
