batch_index,line_id,event_id,event_template,query_text,normalized_results_file,requested_at_utc,num_results,status,error_message
1,1,E27,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,normalized_results/1.json,2026-04-09T00:12:50.435311+00:00,10,success,
2,2,E13,Invalid user <*> from <*>,Invalid user webmaster from 173.234.31.186,normalized_results/2.json,2026-04-09T00:12:55.506131+00:00,10,success,
3,3,E12,input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user webmaster [preauth],normalized_results/3.json,2026-04-09T00:13:00.728638+00:00,10,success,
4,4,E21,pam_unix(sshd:auth): check pass; user unknown,pam_unix(sshd:auth): check pass; user unknown,normalized_results/4.json,2026-04-09T00:13:05.939495+00:00,10,success,
5,5,E19,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=173.234.31.186,normalized_results/5.json,2026-04-09T00:13:11.333502+00:00,10,success,
6,6,E10,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user webmaster from 173.234.31.186 port 38926 ssh2,normalized_results/6.json,2026-04-09T00:13:17.647675+00:00,10,success,
7,7,E2,Connection closed by <*> [preauth],Connection closed by 173.234.31.186 [preauth],normalized_results/7.json,2026-04-09T00:13:23.168101+00:00,10,success,
8,14,E24,Received disconnect from <*>: <*>: Bye Bye [preauth],Received disconnect from 52.80.34.196: 11: Bye Bye [preauth],normalized_results/14.json,2026-04-09T00:13:28.289363+00:00,10,success,
9,28,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.36.59.76.dynamic-dsl-ip.omantel.net.om  user=root,normalized_results/28.json,2026-04-09T00:13:33.600522+00:00,10,success,
10,29,E9,Failed password for <*> from <*> port <*> ssh2,Failed password for root from 5.36.59.76 port 42393 ssh2,normalized_results/29.json,2026-04-09T00:13:38.860717+00:00,10,success,
11,30,E14,message repeated <*> times: [ Failed password for <*> from <*> port <*>],message repeated 5 times: [ Failed password for root from 5.36.59.76 port 42393 ssh2],normalized_results/30.json,2026-04-09T00:13:44.183005+00:00,10,success,
12,31,E4,Disconnecting: Too many authentication failures for <*> [preauth],Disconnecting: Too many authentication failures for root [preauth],normalized_results/31.json,2026-04-09T00:13:49.322262+00:00,10,success,
13,32,E17,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>,PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.36.59.76.dynamic-dsl-ip.omantel.net.om  user=root,normalized_results/32.json,2026-04-09T00:13:54.695055+00:00,10,success,
14,33,E18,PAM service(sshd) ignoring max retries; <*> > <*>,PAM service(sshd) ignoring max retries; 6 > 3,normalized_results/33.json,2026-04-09T00:14:00.406847+00:00,10,success,
15,139,E3,Did not receive identification string from <*>,Did not receive identification string from 123.235.32.19,normalized_results/139.json,2026-04-09T00:14:06.030568+00:00,10,success,
16,158,E6,error: Received disconnect from <*>: <*>: com.jcraft.jsch.JSchException: Auth fail [preauth],error: Received disconnect from 195.154.37.122: 3: com.jcraft.jsch.JSchException: Auth fail [preauth],normalized_results/158.json,2026-04-09T00:14:11.992139+00:00,10,success,
17,176,E25,Received disconnect from <*>: <*>: Closed due to user request. [preauth],Received disconnect from 103.207.39.165: 11: Closed due to user request. [preauth],normalized_results/176.json,2026-04-09T00:14:17.568534+00:00,10,success,
18,193,E8,Failed none for invalid user <*> from <*> port <*> ssh2,Failed none for invalid user 0 from 5.188.10.180 port 49811 ssh2,normalized_results/193.json,2026-04-09T00:14:22.766608+00:00,10,success,
19,222,E16,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.188.10.180,normalized_results/222.json,2026-04-09T00:14:28.551128+00:00,10,success,
20,254,E15,PAM <*> more authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,PAM 1 more authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.188.10.180,normalized_results/254.json,2026-04-09T00:14:33.647291+00:00,10,success,
21,347,E7,error: Received disconnect from <*>: <*>: No more user authentication methods available. [preauth],error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth],normalized_results/347.json,2026-04-09T00:14:38.914754+00:00,10,success,
22,956,E1,Accepted password for <*> from <*> port <*> ssh2,Accepted password for fztu from 119.137.62.142 port 49116 ssh2,normalized_results/956.json,2026-04-09T00:14:44.120844+00:00,10,success,
23,957,E23,pam_unix(sshd:session): session opened for user <*> by (uid=<*>),pam_unix(sshd:session): session opened for user fztu by (uid=0),normalized_results/957.json,2026-04-09T00:14:50.304081+00:00,10,success,
24,964,E26,Received disconnect from <*>: <*>: disconnected by user,Received disconnect from 119.137.62.142: 11: disconnected by user,normalized_results/964.json,2026-04-09T00:14:55.870574+00:00,10,success,
25,965,E22,pam_unix(sshd:session): session closed for user <*>,pam_unix(sshd:session): session closed for user fztu,normalized_results/965.json,2026-04-09T00:15:01.433738+00:00,10,success,
26,1869,E11,fatal: Write failed: Connection reset by peer [preauth],fatal: Write failed: Connection reset by peer [preauth],normalized_results/1869.json,2026-04-09T00:15:06.532473+00:00,10,success,
27,8,E2,Connection closed by <*> [preauth],Connection closed by 212.47.254.145 [preauth],normalized_results/8.json,2026-04-09T00:15:12.062148+00:00,10,success,
28,9,E13,Invalid user <*> from <*>,Invalid user test9 from 52.80.34.196,normalized_results/9.json,2026-04-09T00:15:17.102360+00:00,10,success,
29,10,E12,input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user test9 [preauth],normalized_results/10.json,2026-04-09T00:15:22.294797+00:00,10,success,
30,11,E21,pam_unix(sshd:auth): check pass; user unknown,pam_unix(sshd:auth): check pass; user unknown,normalized_results/11.json,2026-04-09T00:15:27.320632+00:00,10,success,
