batch_index,line_id,event_id,event_template,query_text,normalized_results_file,requested_at_utc,num_results,status,error_message
1,1,E117,session closed for user <*>,session closed for user root,normalized_results/1.json,2026-04-09T20:27:51.765360+00:00,10,success,
2,2,E118,session opened for user <*> by (uid=<*>),session opened for user root by (uid=0),normalized_results/2.json,2026-04-09T20:27:56.844705+00:00,10,success,
3,3,E3,(<*>) CMD (run-parts <*>),(root) CMD (run-parts /etc/cron.hourly),normalized_results/3.json,2026-04-09T20:28:02.004456+00:00,10,success,
4,40,E32,data_thread() got not answer from any [<*>] datasource,data_thread() got not answer from any [Thunderbird_A8] datasource,normalized_results/40.json,2026-04-09T20:28:08.480003+00:00,10,success,
5,46,E125,"synchronized to <*>, stratum <*>","synchronized to 10.100.20.250, stratum 3",normalized_results/46.json,2026-04-09T20:28:13.753602+00:00,10,success,
6,56,E8,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,normalized_results/56.json,2026-04-09T20:28:19.875179+00:00,10,success,
7,63,E6,[ib_sm_sweep.c:<*>]: No topology change,[ib_sm_sweep.c:1455]: No topology change,normalized_results/63.json,2026-04-09T20:28:25.814918+00:00,10,success,
8,64,E7,[ib_sm_sweep.c:<*>]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required,normalized_results/64.json,2026-04-09T20:28:31.497995+00:00,10,success,
9,74,E67,Local disconnected: Connection closed.,Local disconnected: Connection closed.,normalized_results/74.json,2026-04-09T20:28:36.803683+00:00,10,success,
10,75,E30,connection lost: 'Connection closed.',connection lost: 'Connection closed.',normalized_results/75.json,2026-04-09T20:28:41.946057+00:00,10,success,
11,96,E131,unable to qualify my own domain name (<*>) -- using short name,unable to qualify my own domain name (eadmin1) -- using short name,normalized_results/96.json,2026-04-09T20:28:47.478780+00:00,10,success,
12,98,E15,"<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=#<*>#@localhost","jA9J1UvC004306: from=root, size=629060, class=0, nrcpts=1, msgid=<200511091901.jA9J1UvC004306@eadmin1>, relay=#7#@localhost",normalized_results/98.json,2026-04-09T20:28:53.444292+00:00,10,success,
13,99,E16,"<*>: to=<*>, ctladdr=<*> (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]","jA9J1UvC004306: to=root, ctladdr=root (0/0), delay=00:00:01, xdelay=00:00:00, mailer=relay, pri=659060, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",normalized_results/99.json,2026-04-09T20:28:58.782839+00:00,10,success,
14,128,E36,DHCPDISCOVER from <*> via eth1,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,normalized_results/128.json,2026-04-09T20:29:04.331273+00:00,10,success,
15,129,E38,DHCPOFFER on <*> to <*> via eth1,DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,normalized_results/129.json,2026-04-09T20:29:09.800864+00:00,10,success,
16,132,E37,DHCPDISCOVER from <*> via eth1: network A_net: no free leases,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,normalized_results/132.json,2026-04-09T20:29:15.320004+00:00,10,success,
17,139,E35,DHCPACK on <*> to <*> via eth1,DHCPACK on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,normalized_results/139.json,2026-04-09T20:29:20.431869+00:00,10,success,
18,140,E39,DHCPREQUEST for <*> (<*>) from <*> via eth1,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1,normalized_results/140.json,2026-04-09T20:29:25.764284+00:00,10,success,
19,141,E119,START: tftp pid=<*> from=<*>,START: tftp pid=16563 from=10.100.4.251,normalized_results/141.json,2026-04-09T20:29:30.970233+00:00,10,success,
20,142,E40,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,normalized_results/142.json,2026-04-09T20:29:36.645209+00:00,10,success,
21,404,E111,RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),RRD_update (/var/lib/ganglia/rrds/C Nodes/cn304/pkts_out.rrd): illegal attempt to update using time 1131563037 when last update time is 1131563037 (minimum one second step),normalized_results/404.json,2026-04-09T20:29:41.706634+00:00,10,success,
22,459,E61,kernel time sync disabled <*>,kernel time sync disabled 0041,normalized_results/459.json,2026-04-09T20:29:47.164224+00:00,10,success,
23,460,E128,time reset +<*> s,time reset +0.182379 s,normalized_results/460.json,2026-04-09T20:29:52.355075+00:00,10,success,
24,566,E98,Received SNMP packet(s) from #<*>#,Received SNMP packet(s) from #34#,normalized_results/566.json,2026-04-09T20:29:57.571285+00:00,10,success,
25,957,E62,kernel time sync enabled <*>,kernel time sync enabled 0001,normalized_results/957.json,2026-04-09T20:30:02.673296+00:00,10,success,
26,1101,E2,(<*>) CMD (<*> <*>),(root) CMD (/projects/tbird/temps/get_temps a),normalized_results/1101.json,2026-04-09T20:30:08.321692+00:00,10,success,
27,1162,E75,My unqualified host name (<*>) unknown; sleeping for retry,My unqualified host name (eadmin1) unknown; sleeping for retry,normalized_results/1162.json,2026-04-09T20:30:13.633610+00:00,10,success,
28,1182,E25,CentOS-<*> (Kernel Module GPG key),CentOS-4 (Kernel Module GPG key),normalized_results/1182.json,2026-04-09T20:30:19.431072+00:00,10,success,
29,1183,E4,(supports <*>),(supports S0 S4 S5),normalized_results/1183.json,2026-04-09T20:30:24.636420+00:00,10,success,
30,1184,E10,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000,normalized_results/1184.json,2026-04-09T20:30:30.870066+00:00,10,success,
