source,source_key,entity_type,release_window,window_start,window_end,entity_id,num_docs,inferred_log_docs,log_doc_rate
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,A,11,5,0.454545
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,AMQ Broker,155,25,0.161290
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,AMQ Clients,10,3,0.300000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,AMQ Documentation,13,1,0.076923
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,AMQ Interconnect,23,1,0.043478
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,AMQ Streams,36,8,0.222222
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,ActiveMQ,13,13,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,ActiveMQ (Read,11,2,0.181818
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,ActiveMQ .Net,4,3,0.750000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,ActiveMQ Artemis,32,32,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,ActiveMQ C++ Client,2,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Activity Streams,2,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Admin Experience,26,1,0.038462
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Advanced Roadmaps,7,7,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,AeroGear,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Aesh,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Agroal,2,1,0.500000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Airavata,9,4,0.444444
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Ambari,30,13,0.433333
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache AGE,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache AWF (Retired),1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Any23,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Arrow,1503,273,0.181637
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache AsterixDB,9,7,0.777778
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Avro,50,29,0.580000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache BlueMarlin (Retired),1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Cassandra,114,47,0.412281
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Curator,10,2,0.200000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache DataLab,1,1,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache DataLab (Retired),7,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Apache Datasketches,1,0,0.000000
