source,source_key,entity_type,release_window,window_start,window_end,window_entities,entities_with_logs,cumulative_log_entities,top10_share,inferred_log_docs
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,612,486,486,0.338136,10549
JIRA,jira,project,2021-05_to_2021-08,2021-05,2021-08,596,470,562,0.338407,9855
JIRA,jira,project,2021-09_to_2021-12,2021-09,2021-12,607,455,603,0.350047,9633
JIRA,jira,project,2022-01_to_2022-04,2022-01,2022-04,611,420,653,0.385516,9224
JIRA,jira,project,2022-05_to_2022-08,2022-05,2022-08,600,404,672,0.386418,9130
JIRA,jira,project,2022-09_to_2022-12,2022-09,2022-12,595,402,691,0.450364,9741
JIRA,jira,project,2023-01_to_2023-04,2023-01,2023-04,578,402,710,0.454430,9480
JIRA,jira,project,2023-05_to_2023-08,2023-05,2023-08,571,395,724,0.440295,9346
JIRA,jira,project,2023-09_to_2023-12,2023-09,2023-12,571,379,740,0.545910,11185
JIRA,jira,project,2024-01_to_2024-04,2024-01,2024-04,583,384,757,0.482059,10702
JIRA,jira,project,2024-05_to_2024-08,2024-05,2024-08,537,371,768,0.496422,11041
JIRA,jira,project,2024-09_to_2024-12,2024-09,2024-12,548,393,778,0.494998,10495
JIRA,jira,project,2025-01_to_2025-04,2025-01,2025-04,558,372,793,0.481141,11321
JIRA,jira,project,2025-05_to_2025-08,2025-05,2025-08,494,336,801,0.515877,11022
JIRA,jira,project,2025-09_to_2025-12,2025-09,2025-12,478,328,808,0.512704,10823
