source,source_key,entity_type,release_window,window_start,window_end,window_entities,entities_with_logs,cumulative_log_entities,top10_share,inferred_log_docs
Stack Overflow,so,tag,2021-01_to_2021-04,2021-01,2021-04,31925,20697,20697,0.587817,146760
Stack Overflow,so,tag,2021-05_to_2021-08,2021-05,2021-08,31229,20050,26177,0.594491,135388
Stack Overflow,so,tag,2021-09_to_2021-12,2021-09,2021-12,30567,19474,29537,0.603270,124702
Stack Overflow,so,tag,2022-01_to_2022-04,2022-01,2022-04,31049,19796,32206,0.602645,124400
Stack Overflow,so,tag,2022-05_to_2022-08,2022-05,2022-08,30621,19492,34270,0.599921,119314
Stack Overflow,so,tag,2022-09_to_2022-12,2022-09,2022-12,30105,19239,36005,0.586461,109107
Stack Overflow,so,tag,2023-01_to_2023-04,2023-01,2023-04,29788,19071,37522,0.555836,96246
Stack Overflow,so,tag,2023-05_to_2023-08,2023-05,2023-08,27774,17703,38716,0.545456,75513
Stack Overflow,so,tag,2023-09_to_2023-12,2023-09,2023-12,25835,16042,39578,0.537212,60438
Stack Overflow,so,tag,2024-01_to_2024-04,2024-01,2024-04,25404,15868,40373,0.527662,56377
Stack Overflow,so,tag,2024-05_to_2024-08,2024-05,2024-08,24326,15072,41072,0.512279,46746
Stack Overflow,so,tag,2024-09_to_2024-12,2024-09,2024-12,22594,13845,41657,0.501321,37106
Stack Overflow,so,tag,2025-01_to_2025-04,2025-01,2025-04,19611,11657,42088,0.492430,25431
Stack Overflow,so,tag,2025-05_to_2025-08,2025-05,2025-08,14254,8041,42341,0.481255,12083
Stack Overflow,so,tag,2025-09_to_2025-12,2025-09,2025-12,10339,5469,42491,0.499094,6626
