source,source_key,release_window,window_start,window_end,num_new_docs,inferred_log_docs,log_doc_rate,num_logs,logs_per_log_doc
GitHub,github,2021-01_to_2021-04,2021-01,2021-04,2045259,379473,0.185538,1209798,3.188100
GitHub,github,2021-05_to_2021-08,2021-05,2021-08,1964826,347924,0.177076,1096948,3.152838
GitHub,github,2021-09_to_2021-12,2021-09,2021-12,1861777,317036,0.170287,971061,3.062936
GitHub,github,2022-01_to_2022-04,2022-01,2022-04,1612430,257319,0.159585,767772,2.983736
GitHub,github,2022-05_to_2022-08,2022-05,2022-08,162510,12366,0.076094,68057,5.503558
GitHub,github,2022-09_to_2022-12,2022-09,2022-12,362776,30266,0.083429,172010,5.683275
GitHub,github,2023-01_to_2023-04,2023-01,2023-04,646534,62148,0.096125,415796,6.690416
GitHub,github,2023-05_to_2023-08,2023-05,2023-08,863185,84968,0.098435,621674,7.316566
GitHub,github,2023-09_to_2023-12,2023-09,2023-12,1004626,94121,0.093688,718571,7.634545
GitHub,github,2024-01_to_2024-04,2024-01,2024-04,1241258,122420,0.098626,986554,8.058765
GitHub,github,2024-05_to_2024-08,2024-05,2024-08,1375313,137469,0.099955,1049152,7.631917
GitHub,github,2024-09_to_2024-12,2024-09,2024-12,1447338,146159,0.100985,1354316,9.266046
GitHub,github,2025-01_to_2025-04,2025-01,2025-04,1652459,181958,0.110113,1666497,9.158690
GitHub,github,2025-05_to_2025-08,2025-05,2025-08,1834694,211024,0.115019,2006650,9.509108
GitHub,github,2025-09_to_2025-12,2025-09,2025-12,1957807,235758,0.120419,2437855,10.340497
