source,source_key,release_window,window_start,window_end,num_new_docs,inferred_log_docs,log_doc_rate,num_logs,logs_per_log_doc
JIRA,jira,2021-01_to_2021-04,2021-01,2021-04,35624,10549,0.296121,58987,5.591715
JIRA,jira,2021-05_to_2021-08,2021-05,2021-08,37783,9855,0.260832,44561,4.521664
JIRA,jira,2021-09_to_2021-12,2021-09,2021-12,39333,9633,0.244909,58480,6.070798
JIRA,jira,2022-01_to_2022-04,2022-01,2022-04,55595,9224,0.165914,49615,5.378903
JIRA,jira,2022-05_to_2022-08,2022-05,2022-08,56527,9130,0.161516,50661,5.548850
JIRA,jira,2022-09_to_2022-12,2022-09,2022-12,56621,9741,0.172039,51391,5.275742
JIRA,jira,2023-01_to_2023-04,2023-01,2023-04,62210,9480,0.152387,45180,4.765823
JIRA,jira,2023-05_to_2023-08,2023-05,2023-08,61297,9346,0.152471,44218,4.731222
JIRA,jira,2023-09_to_2023-12,2023-09,2023-12,65101,11185,0.171810,48183,4.307823
JIRA,jira,2024-01_to_2024-04,2024-01,2024-04,67693,10702,0.158096,45054,4.209867
JIRA,jira,2024-05_to_2024-08,2024-05,2024-08,68699,11041,0.160716,47894,4.337832
JIRA,jira,2024-09_to_2024-12,2024-09,2024-12,68058,10495,0.154207,45030,4.290615
JIRA,jira,2025-01_to_2025-04,2025-01,2025-04,75309,11321,0.150327,46419,4.100256
JIRA,jira,2025-05_to_2025-08,2025-05,2025-08,81198,11022,0.135742,42215,3.830067
JIRA,jira,2025-09_to_2025-12,2025-09,2025-12,77984,10823,0.138785,42909,3.964612
Stack Overflow,so,2021-01_to_2021-04,2021-01,2021-04,509911,146760,0.287815,299860,2.043200
Stack Overflow,so,2021-05_to_2021-08,2021-05,2021-08,466778,135388,0.290048,268921,1.986299
Stack Overflow,so,2021-09_to_2021-12,2021-09,2021-12,431357,124702,0.289092,251210,2.014483
Stack Overflow,so,2022-01_to_2022-04,2022-01,2022-04,432348,124400,0.287731,246900,1.984727
Stack Overflow,so,2022-05_to_2022-08,2022-05,2022-08,414243,119314,0.288029,234748,1.967481
Stack Overflow,so,2022-09_to_2022-12,2022-09,2022-12,381815,109107,0.285759,214387,1.964924
Stack Overflow,so,2023-01_to_2023-04,2023-01,2023-04,312163,96246,0.308320,194047,2.016157
Stack Overflow,so,2023-05_to_2023-08,2023-05,2023-08,234143,75513,0.322508,156490,2.072358
Stack Overflow,so,2023-09_to_2023-12,2023-09,2023-12,183843,60438,0.328748,127255,2.105546
Stack Overflow,so,2024-01_to_2024-04,2024-01,2024-04,168484,56377,0.334613,119159,2.113610
Stack Overflow,so,2024-05_to_2024-08,2024-05,2024-08,135254,46746,0.345616,106036,2.268344
Stack Overflow,so,2024-09_to_2024-12,2024-09,2024-12,103059,37106,0.360046,87293,2.352531
Stack Overflow,so,2025-01_to_2025-04,2025-01,2025-04,70587,25431,0.360279,60151,2.365263
Stack Overflow,so,2025-05_to_2025-08,2025-05,2025-08,34551,12083,0.349715,28962,2.396921
Stack Overflow,so,2025-09_to_2025-12,2025-09,2025-12,18992,6626,0.348884,16171,2.440537
GitHub,github,2021-01_to_2021-04,2021-01,2021-04,2045259,379473,0.185538,1209798,3.188100
GitHub,github,2021-05_to_2021-08,2021-05,2021-08,1964826,347924,0.177076,1096948,3.152838
GitHub,github,2021-09_to_2021-12,2021-09,2021-12,1861777,317036,0.170287,971061,3.062936
GitHub,github,2022-01_to_2022-04,2022-01,2022-04,1612430,257319,0.159585,767772,2.983736
GitHub,github,2022-05_to_2022-08,2022-05,2022-08,162510,12366,0.076094,68057,5.503558
GitHub,github,2022-09_to_2022-12,2022-09,2022-12,362776,30266,0.083429,172010,5.683275
GitHub,github,2023-01_to_2023-04,2023-01,2023-04,646534,62148,0.096125,415796,6.690416
GitHub,github,2023-05_to_2023-08,2023-05,2023-08,863185,84968,0.098435,621674,7.316566
GitHub,github,2023-09_to_2023-12,2023-09,2023-12,1004626,94121,0.093688,718571,7.634545
GitHub,github,2024-01_to_2024-04,2024-01,2024-04,1241258,122420,0.098626,986554,8.058765
GitHub,github,2024-05_to_2024-08,2024-05,2024-08,1375313,137469,0.099955,1049152,7.631917
GitHub,github,2024-09_to_2024-12,2024-09,2024-12,1447338,146159,0.100985,1354316,9.266046
GitHub,github,2025-01_to_2025-04,2025-01,2025-04,1652459,181958,0.110113,1666497,9.158690
GitHub,github,2025-05_to_2025-08,2025-05,2025-08,1834694,211024,0.115019,2006650,9.509108
GitHub,github,2025-09_to_2025-12,2025-09,2025-12,1957807,235758,0.120419,2437855,10.340497
