source,source_key,release_window,window_start,window_end,num_new_docs,inferred_log_docs,log_doc_rate,num_logs,logs_per_log_doc
JIRA,jira,2021-01_to_2021-04,2021-01,2021-04,35624,9953,0.279390,57692,5.796443
JIRA,jira,2021-05_to_2021-08,2021-05,2021-08,37783,9238,0.244501,42903,4.644187
JIRA,jira,2021-09_to_2021-12,2021-09,2021-12,39333,8864,0.225358,56191,6.339237
JIRA,jira,2022-01_to_2022-04,2022-01,2022-04,55595,7749,0.139383,45408,5.859853
JIRA,jira,2022-05_to_2022-08,2022-05,2022-08,56527,7613,0.134679,46363,6.089978
JIRA,jira,2022-09_to_2022-12,2022-09,2022-12,56621,8342,0.147330,46683,5.596140
JIRA,jira,2023-01_to_2023-04,2023-01,2023-04,62210,8135,0.130767,37749,4.640320
JIRA,jira,2023-05_to_2023-08,2023-05,2023-08,61297,7940,0.129533,38788,4.885139
JIRA,jira,2023-09_to_2023-12,2023-09,2023-12,65101,9904,0.152133,44341,4.477080
JIRA,jira,2024-01_to_2024-04,2024-01,2024-04,67693,9122,0.134755,40124,4.398597
JIRA,jira,2024-05_to_2024-08,2024-05,2024-08,68699,9441,0.137426,43495,4.607033
JIRA,jira,2024-09_to_2024-12,2024-09,2024-12,68058,8905,0.130844,40806,4.582369
JIRA,jira,2025-01_to_2025-04,2025-01,2025-04,75309,9215,0.122363,40895,4.437873
JIRA,jira,2025-05_to_2025-08,2025-05,2025-08,81198,8615,0.106099,35686,4.142310
JIRA,jira,2025-09_to_2025-12,2025-09,2025-12,77984,8318,0.106663,35683,4.289853
Stack Overflow,so,2021-01_to_2021-04,2021-01,2021-04,509911,146760,0.287815,299860,2.043200
Stack Overflow,so,2021-05_to_2021-08,2021-05,2021-08,466778,135388,0.290048,268921,1.986299
Stack Overflow,so,2021-09_to_2021-12,2021-09,2021-12,431357,124702,0.289092,251210,2.014483
Stack Overflow,so,2022-01_to_2022-04,2022-01,2022-04,432348,124400,0.287731,246900,1.984727
Stack Overflow,so,2022-05_to_2022-08,2022-05,2022-08,414243,119314,0.288029,234748,1.967481
Stack Overflow,so,2022-09_to_2022-12,2022-09,2022-12,381815,109107,0.285759,214387,1.964924
Stack Overflow,so,2023-01_to_2023-04,2023-01,2023-04,312163,96246,0.308320,194047,2.016157
Stack Overflow,so,2023-05_to_2023-08,2023-05,2023-08,234143,75513,0.322508,156490,2.072358
Stack Overflow,so,2023-09_to_2023-12,2023-09,2023-12,183843,60438,0.328748,127255,2.105546
Stack Overflow,so,2024-01_to_2024-04,2024-01,2024-04,168484,56377,0.334613,119159,2.113610
Stack Overflow,so,2024-05_to_2024-08,2024-05,2024-08,135254,46746,0.345616,106036,2.268344
Stack Overflow,so,2024-09_to_2024-12,2024-09,2024-12,103059,37106,0.360046,87293,2.352531
Stack Overflow,so,2025-01_to_2025-04,2025-01,2025-04,70587,25431,0.360279,60151,2.365263
Stack Overflow,so,2025-05_to_2025-08,2025-05,2025-08,34551,12083,0.349715,28962,2.396921
Stack Overflow,so,2025-09_to_2025-12,2025-09,2025-12,18992,6626,0.348884,16171,2.440537
