source,source_key,release_window,window_start,window_end,num_new_docs,inferred_log_docs,log_doc_rate,num_logs,logs_per_log_doc
JIRA,jira,2021-01_to_2021-04,2021-01,2021-04,35624,10549,0.296121,58987,5.591715
JIRA,jira,2021-05_to_2021-08,2021-05,2021-08,37783,9855,0.260832,44561,4.521664
JIRA,jira,2021-09_to_2021-12,2021-09,2021-12,39333,9633,0.244909,58480,6.070798
JIRA,jira,2022-01_to_2022-04,2022-01,2022-04,55595,9224,0.165914,49615,5.378903
JIRA,jira,2022-05_to_2022-08,2022-05,2022-08,56527,9130,0.161516,50661,5.548850
JIRA,jira,2022-09_to_2022-12,2022-09,2022-12,56621,9741,0.172039,51391,5.275742
JIRA,jira,2023-01_to_2023-04,2023-01,2023-04,62210,9480,0.152387,45180,4.765823
JIRA,jira,2023-05_to_2023-08,2023-05,2023-08,61297,9346,0.152471,44218,4.731222
JIRA,jira,2023-09_to_2023-12,2023-09,2023-12,65101,11185,0.171810,48183,4.307823
JIRA,jira,2024-01_to_2024-04,2024-01,2024-04,67693,10702,0.158096,45054,4.209867
JIRA,jira,2024-05_to_2024-08,2024-05,2024-08,68699,11041,0.160716,47894,4.337832
JIRA,jira,2024-09_to_2024-12,2024-09,2024-12,68058,10495,0.154207,45030,4.290615
JIRA,jira,2025-01_to_2025-04,2025-01,2025-04,75309,11321,0.150327,46419,4.100256
JIRA,jira,2025-05_to_2025-08,2025-05,2025-08,81198,11022,0.135742,42215,3.830067
JIRA,jira,2025-09_to_2025-12,2025-09,2025-12,77984,10823,0.138785,42909,3.964612
