project,case_id,group_logs
HPC,1,"unix.hw state_change.unavailable 1084635601 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 3098 )
unix.hw state_change.unavailable 1084635601 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 41 )
unix.hw state_change.unavailable 1084631135 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 2818 )
unix.hw state_change.unavailable 1084631135 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 4432 )
unix.hw state_change.unavailable 1084631134 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 2958 )
unix.hw state_change.unavailable 1084631134 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 2608 )
unix.hw state_change.unavailable 1084631134 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 2888 )
unix.hw state_change.unavailable 1084631134 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 2748 )
unix.hw state_change.unavailable 1084631134 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 3098 )
unix.hw state_change.unavailable 1084631134 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 3028 )
unix.hw state_change.unavailable 1084631134 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 2538 )
unix.hw state_change.unavailable 1084631134 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 3168 )
unix.hw state_change.unavailable 1084631134 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 3238 )
unix.hw state_change.unavailable 1084631133 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 41 )
unix.hw state_change.unavailable 1084631088 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 2538 )
unix.hw state_change.unavailable 1084631088 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 3238 )
unix.hw state_change.unavailable 1084631088 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 3098 )
unix.hw state_change.unavailable 1084631088 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 3168 )
unix.hw state_change.unavailable 1084631088 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 2958 )
unix.hw state_change.unavailable 1084631087 1 Component State Change : Component \042alt0\042 is in the unavailable state ( HWID = 2888 )"
HPC,4,"boot_cmd success 1077810607 1 Command has completed successfully
boot_cmd success 1077810608 1 Command has completed successfully
boot_cmd success 1077810661 1 Command has completed successfully
boot_cmd success 1077810661 1 Command has completed successfully
boot_cmd success 1077810662 1 Command has completed successfully
boot_cmd success 1077810662 1 Command has completed successfully
boot_cmd success 1077810688 1 Command has completed successfully
boot_cmd success 1077810689 1 Command has completed successfully
boot_cmd success 1077810689 1 Command has completed successfully
boot_cmd success 1077810689 1 Command has completed successfully
boot_cmd success 1077816955 1 Command has completed successfully
boot_cmd success 1077816970 1 Command has completed successfully
boot_cmd success 1077816985 1 Command has completed successfully
boot_cmd success 1077816987 1 Command has completed successfully
boot_cmd success 1077816987 1 Command has completed successfully
boot_cmd success 1077816990 1 Command has completed successfully
boot_cmd success 1077817021 1 Command has completed successfully
boot_cmd success 1077817742 1 Command has completed successfully
boot_cmd success 1077817742 1 Command has completed successfully
boot_cmd success 1077817773 1 Command has completed successfully"
HPC,10,"unix.hw net.niff.down 1084271027 1 NIFF : node node-85 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271027 1 NIFF : node node-98 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271026 1 NIFF : node node-112 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271026 1 NIFF : node node-89 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271026 1 NIFF : node node-121 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271026 1 NIFF : node node-50 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271026 1 NIFF : node node-93 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271026 1 NIFF : node node-65 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271026 1 NIFF : node node-58 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271026 1 NIFF : node node-110 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271026 1 NIFF : node node-41 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271026 1 NIFF : node node-67 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271026 1 NIFF : node node-73 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271026 1 NIFF : node node-100 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271026 1 NIFF : node node-123 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271026 1 NIFF : node node-91 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271026 1 NIFF : node node-84 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271025 1 NIFF : node node-54 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271025 1 NIFF : node node-114 detected a failed network connection on network 5.5.224.0 via interface alt0
unix.hw net.niff.down 1084271025 1 NIFF : node node-118 detected a failed network connection on network 5.5.224.0 via interface alt0"
HPC,12,"switch_module fan 1121579712 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579707 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579701 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579676 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579662 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579653 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579631 1 Fan speeds ( 3552 3534 3375 4500 3515 3479 )
switch_module fan 1121579609 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579608 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579607 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579600 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579598 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579596 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579594 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579587 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579585 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579583 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579576 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579570 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )
switch_module fan 1121579564 1 Fan speeds ( 3552 3534 3375 **** 3515 3479 )"
HPC,18,"clusterfilesystem clusterfilesystem.not_served 1074123881 1 ClusterFileSystem : ServerFileSystem domain root7_domain is no longer served by node node-230
clusterfilesystem clusterfilesystem.not_served 1074123885 1 ClusterFileSystem : ServerFileSystem domain root21_domain is no longer served by node node-32
clusterfilesystem clusterfilesystem.not_served 1074123909 1 ClusterFileSystem : ServerFileSystem domain root24_domain is no longer served by node node-128
clusterfilesystem clusterfilesystem.not_served 1074123912 1 ClusterFileSystem : ServerFileSystem domain root21_domain is no longer served by node node-224
clusterfilesystem clusterfilesystem.not_served 1074123963 1 ClusterFileSystem : ServerFileSystem domain root25_domain is no longer served by node node-96
clusterfilesystem clusterfilesystem.not_served 1074123982 1 ClusterFileSystem : ServerFileSystem domain root10_domain is no longer served by node node-105
clusterfilesystem clusterfilesystem.not_served 1074123988 1 ClusterFileSystem : ServerFileSystem domain root10_domain is no longer served by node node-137
clusterfilesystem clusterfilesystem.not_served 1074124008 1 ClusterFileSystem : ServerFileSystem domain root24_domain is no longer served by node node-192
clusterfilesystem clusterfilesystem.not_served 1074124043 1 ClusterFileSystem : ServerFileSystem domain root3_domain is no longer served by node node-194
clusterfilesystem clusterfilesystem.not_served 1074124048 1 ClusterFileSystem : ServerFileSystem domain root24_domain is no longer served by node node-64
clusterfilesystem clusterfilesystem.not_served 1074124050 1 ClusterFileSystem : ServerFileSystem domain root22_domain is no longer served by node node-0
clusterfilesystem clusterfilesystem.not_served 1074124084 1 ClusterFileSystem : ServerFileSystem domain root22_domain is no longer served by node node-32
clusterfilesystem clusterfilesystem.not_served 1074124109 1 ClusterFileSystem : ServerFileSystem domain root22_domain is no longer served by node node-224
clusterfilesystem clusterfilesystem.not_served 1074124124 1 ClusterFileSystem : ServerFileSystem domain root8_domain is no longer served by node node-231
clusterfilesystem clusterfilesystem.not_served 1074124125 1 ClusterFileSystem : ServerFileSystem domain root25_domain is no longer served by node node-128
clusterfilesystem clusterfilesystem.not_served 1074124134 1 ClusterFileSystem : ServerFileSystem domain root10_domain is no longer served by node node-73
clusterfilesystem clusterfilesystem.not_served 1074124165 1 ClusterFileSystem : ServerFileSystem domain root11_domain is no longer served by node node-138
clusterfilesystem clusterfilesystem.not_served 1074124173 1 ClusterFileSystem : ServerFileSystem domain root11_domain is no longer served by node node-106
clusterfilesystem clusterfilesystem.not_served 1074124183 1 ClusterFileSystem : ServerFileSystem domain root26_domain is no longer served by node node-96
clusterfilesystem clusterfilesystem.not_served 1074124218 1 ClusterFileSystem : ServerFileSystem domain root25_domain is no longer served by node node-192"
HPC,29,"node status 1074217414 1 not responding
node status 1074217414 1 not responding
node status 1074217414 1 not responding
node status 1074217414 1 not responding
node status 1074217414 1 not responding
node status 1074217414 1 not responding
node status 1074217414 1 not responding
node status 1074217414 1 not responding
node status 1074217414 1 not responding
node status 1074217418 1 configured out
node status 1074217418 1 configured out
node status 1074217418 1 configured out
node status 1074217418 1 configured out
node status 1074217418 1 configured out
node status 1074217418 1 configured out
node status 1074217418 1 configured out
node status 1074217418 1 configured out
node status 1074217418 1 configured out
node status 1074217418 1 configured out
node status 1074217418 1 configured out"
HPC,52,"node status 1079615340 0 configured out
node status 1079615340 0 configured out
node status 1079615340 0 configured out
node status 1079615340 0 configured out
node status 1079615340 0 configured out
node status 1079615340 0 configured out
node status 1079615340 0 configured out
node status 1079615340 0 configured out
node status 1079615340 0 configured out
node status 1079615340 0 configured out
node status 1079615340 0 configured out
node status 1079615340 0 configured out
node status 1079615340 1 configured out
node status 1079615340 0 configured out
node status 1079615340 0 configured out
node status 1079615340 1 configured out
domain status 1079615340 1 inconsistent nodesets node-127 0x1fffffffe <ok> node-97 0x0000000e <ok> node-96 0x0000000e <ok> node-98 0x0000000e <ok>
domain status 1079615340 1 inconsistent nodesets node-95 0x1fffffffe <ok> node-64 0x0000000e <ok> node-65 0x0000000e <ok> node-66 0x0000000e <ok>
node status 1079615336 0 not responding
node status 1079615336 0 not responding"
HPC,74,"gige temperature 1119553324 1 critical
gige temperature 1119552124 1 warning
gige temperature 1119550927 1 warning
gige temperature 1119550927 1 critical
gige temperature 1119550625 1 normal
gige temperature 1119550324 1 warning
gige temperature 1119549723 1 critical
gige temperature 1119549123 1 warning
gige temperature 1119548825 1 warning
gige temperature 1119548823 1 critical
gige temperature 1119548761 1 warning
gige temperature 1119548525 1 normal
gige temperature 1119548524 1 warning
gige temperature 1119548398 1 normal
gige temperature 1119548225 1 warning
gige temperature 1119548223 1 critical
gige temperature 1119548161 1 normal
gige temperature 1119548525 1 normal
gige temperature 1119547925 1 normal
gige temperature 1119547798 1 warning"
HPC,79,"switch_module error 1072509013 1 Link error
switch_module error 1072509012 1 Link error
switch_module error 1072509012 1 Link error
switch_module error 1072509012 1 Link error
switch_module error 1072509012 1 Link error
switch_module error 1072508418 1 Link ok
switch_module error 1072508417 1 Link in reset
switch_module error 1072508275 1 Link ok
switch_module error 1072508274 1 Link in reset
switch_module error 1072508194 1 Link ok
switch_module error 1072508193 1 Link in reset
switch_module error 1072507806 1 Link ok
switch_module error 1072507805 1 Link in reset
switch_module error 1072504998 1 Link error
switch_module error 1072504997 1 Link error
switch_module error 1072503853 1 Link ok
switch_module error 1072503852 1 Link in reset
switch_module error 1072503851 1 Link ok
switch_module error 1072503850 1 Link in reset
switch_module error 1072503061 1 Link error"
HPC,85,"switch_module error 1074120554 1 Linkerror event interval expired
switch_module error 1074120561 1 Linkerror event interval expired
switch_module error 1074120583 1 Linkerror event interval expired
switch_module error 1074120590 1 Linkerror event interval expired
switch_module error 1074120591 1 Linkerror event interval expired
switch_module error 1074120597 1 Linkerror event interval expired
switch_module error 1074120598 1 Linkerror event interval expired
switch_module error 1074120605 1 Linkerror event interval expired
switch_module error 1074120606 1 Linkerror event interval expired
switch_module error 1074120613 1 Linkerror event interval expired
switch_module error 1074120632 1 Linkerror event interval expired
switch_module error 1074120639 1 Linkerror event interval expired
switch_module error 1074120640 1 Linkerror event interval expired
switch_module error 1074120646 1 Linkerror event interval expired
switch_module error 1074120654 1 Linkerror event interval expired
switch_module error 1074120692 1 Linkerror event interval expired
switch_module error 1074120699 1 Linkerror event interval expired
switch_module error 1074120700 1 Linkerror event interval expired
switch_module error 1074120707 1 Linkerror event interval expired
switch_module error 1074120717 1 Linkerror event interval expired"
